booking_id,status,ship_code,sailing_code,sailing_description,destination,departure_port,arrival_port,cruise_nights,cabin_code,cabin_category,cabin_number,flight_out_desc,flight_out_from,flight_out_to,flight_in_desc,flight_in_from,flight_in_to
801W500000xnbM8IAI,Confirmed,MS,MS261024,From HAMBURG To HAMBURG,NORWAY,HAM,HAM,14,USPB-0,USPB,0,,,,,,
801W500000xncocIAA,Confirmed,NK,NK260920,From BERGEN To BERGEN,NORWEGIAN COAST,BGO,BGO,11,K3-567,K3,567,,,,,,
801W500000xniFjIAI,Confirmed,MS,MS260220,From BERGEN To HAMMERFEST,NORWEGIAN COAST,BGO,HFT,4.5,CUB-GTY,CUB,GTY,,,,,,
801W500000xnk9RIAQ,Confirmed,MS,MS270726,From BERGEN To LONGYEARBYEN,NORWAY,BGO,LYR,7,O2-0,O2,0,,,,,,
801W500000xnynRIAQ,Confirmed,MS,MS260129,From STAMSUND To TRONDHEIM,NORWEGIAN COAST,STU,TRD,1.5,CUO-0,CUO,0,,,,,,
801W500000xnyx7IAA,Confirmed,MS,MS260220,From TRONDHEIM To BERGEN,NORWEGIAN COAST,TRD,BGO,1.5,CUI-GTY,CUI,GTY,,,,,,
801W500000xo3iLIAQ,Confirmed,MS,MS270327,From BERGEN To BERGEN,NORWAY,BGO,BGO,14,USPD-0,USPD,0,From BERGEN to FRANKFURT,BGO,FRA,,,
801W500000xo4jBIAQ,Confirmed,NK,NK260613,From HAMMERFEST To TRONDHEIM,NORWEGIAN COAST,HFT,TRD,3,CUO-0,CUO,0,,,,,,
801W500000xo5c5IAA,Confirmed,TF,TF261106,From OSLO To TROMSØ,NORWAY,OSL,TOS,6,O2-0,O2,0,,,,,,
801W500000xo7m2IAA,Confirmed,NK,NK260624,From TROMSØ To ROERVIK,NORWEGIAN COAST,TOS,RVK,2,CUL-0,CUL,0,,,,,,
801W500000xoAjyIAE,Confirmed,MS,MS260209,From TRONDHEIM To BERGEN,NORWEGIAN COAST,TRD,BGO,1.5,CUB-0,CUB,0,,,,,,
801W500000xobyUIAQ,Confirmed,KH,KH261202,From BERGEN To BERGEN,NORWEGIAN COAST,BGO,BGO,11,N2D-336,N2D,336,From LONDON STANSTED To BERGEN,STN,BGO,Amadeus-Charter-G-InBound,BGO,STN
801W500000xoddjIAA,Confirmed,NK,NK260223,From TROMSØ To ORNES,NORWEGIAN COAST,TOS,ORS,1.5,CUO-0,CUO,0,,,,,,
801W500000xodqeIAA,Confirmed,KH,KH250356,From BERGEN To KIRKENES,NORWEGIAN COAST,BGO,KKN,6,O3-520,O3,520,From KIRKENES to CHARLES DEGAULLE AIRPORT,KKN,CDG,,,
801W500000xoEdhIAE,Confirmed,SV,SV261016,From HAMBURG To HAMBURG,NORWAY,HAM,HAM,14,U2-667,U2,667,,,,,,
801W500000xoepzIAA,Confirmed,NL,NL260222,From KIRKENES To BERGEN,NORWEGIAN COAST,KKN,BGO,5,USPI-0,USPI,0,,,,,,
801W500000xoeq1IAA,Confirmed,KH,KH260712,From TROMSØ To TRONDHEIM,NORWEGIAN COAST,TOS,TRD,2,CUO-0,CUO,0,,,,,,
801W500000xoeZuIAI,Unconfirmed,RW,RW270214,From BERGEN To BERGEN,NORWEGIAN COAST,BGO,BGO,11,J2D-522,J2D,522,From MUNICH To BERGEN,MUC,BGO,Amadeus-Net-EC-InBound,BGO,MUC
