port_code,port_name,contentful_id,slug
,North Sea crossing,5sO07muwDHtkq5OPdpJ9JM,port-page-north-sea-crossing
,Sailing day,6l0Idfb72AtpTyNu1PZINu,sailing-day
,Copenhagen,5pztUgxTxBqAiNyB0gDmdt,copenhagen
,Nordfjord,3x6QxPN82JciSY3YBCi4Qb,port-nordfjord
,Sognefjord,i7lKNpqHwVJoap7hmtJQv,port-sognefjord
,Kvinnheradsfjord,5v2cABJuN7Pp8AKx1oJYGm,port-kvinnheradsfjord
SRD,Sortland,1PuJ4eNKU0xbEwV44SdUCN,sortland-old
KEL,Kiel,5OMlY0JHM1ETirRVXP8Lmu,port-page-kiel
KEM,Kemi,GwJP2uRto1WxpLvvzP0e2,port-page-kemi
RKV,Reykjavík,6Z5LbA3CIy18IuXe8IYIJ9,port-page-reykjavik
EFEK,Kilpisjärvi,3DIVCCBgk8Fn9ORxtoB0Bi,port-page-kilpisjaervi
SEL,Selfoss,4oMHH0WZLrWfMT8YeeyoPb,port-page-selfoss
LTT,Levi,6jPyIDvHAmxuU8kxhN5GlZ,port-page-levi
BIVI,Vik,2gzMiPkW2gBWGgapaQUy0y,port-page-vik
GEV,Koltavuoma,6TgMoevssiKVBdDlWUslgt,port-page-koltavuoma
BSK,Bessaker,6ocyU436r9Ijzx3qRzTVgI,port-page-bessaker
SRY,Skjervøy,6dyGfU0AgeTmhUuHQfISPv,skjervoy
HVG,Honningsvåg,5UEfxxUI5rJ0d200Q9VJbk,honningsvag
TOS,Tromsø,5aAsLqzPjneDqFObFniI7d,tromso
BOO,Bodø,5oEyhsU6voLfoTa56cF5q5,bodo
BGO,Bergen,V7jivroMqZ2leVEsv6y85,bergen
AES,Ålesund,6b0b0JXDBrWqX5ndBsKmla,alesund
GEI,The Geirangerfjord,5aR6u6ETQ09IzsohbnK64E,the-geirangerfjord
,Barents Sea,U2iyx3ikFYRjbM92d02C2,barents-sea
HJF,The Hjørundfjord,6G3UHRbqxmFXRRWHnOeuG6,hjorundfjord
TR2,Torsken,5U6wbOyPDpzBZ40wrrKnh9,torsken
