product_code,title,voyage_type,route_description,season,contentful_id,category,all_codes
CEN25HRAW,The Coastal Express – North & The Snowhotel,Classic,Bergen - Kirkenes,Winter,92275,Coastal Express - flights and tours,CEN25HRAW|UK24HRAWFL|UK25HRAWFL
CENBKBNINSU25,Complete Norway – Midnight Sun,Classic,Oslo - Bergen - Kirkenes - Bergen,Autumn; Summer; Spring,82224,Coastal Express - flights and tours,CENBKBNINSU25|UKBKBNIN24SUFL|CENBKBNIN24SU
CENBKBNINWI25,Complete Norway – Northern Lights,Classic,Oslo - Bergen - Kirkenes - Bergen,Winter; Autumn,75725,Coastal Express - flights and tours,CENBKBNINWI25|UKBKBNIN24WIFL|CENBKBNIN24WI
CENCUL25,Culinary Voyage,Classic,Bergen - Tromsø,Winter; Spring; Summer; Autumn,6pFVS5CtVtp6Ur5mNEIs5E,Coastal Express - flights and tours,
CENFMS24,"Follow the Midnight Sun – Norway, Sweden, & Finland",Classic,Stockholm - Kirkenes - Bergen,Summer,120801,Coastal Express - flights and tours,CENFMS24|UKFMS24FL|CENFMS25
CENFTL25,Follow the Northern Lights – Norway to Finland,Classic,Oslo - Honningsvåg - Rovaniemi - Helsinki,Winter; Autumn,120711,Coastal Express - flights and tours,CENFTL25|CENFTL26
CENFTLS25,Follow the Northern Lights – Finland to Norway,Classic,Helsinki - Rovaniemi - Honningsvåg - Oslo,Winter; Autumn,120689,Coastal Express - flights and tours,CENFTLS25|CENFTLS26
CENHRASSIG26,Astronomy Voyage,Classic,Oslo - Honningsvåg - Oslo,Winter; Autumn,1HpJw3BQwIprZha4RQPW4n,The North Cape Express,CENHRASSIG26
CENICOBT24CO,The North Cape Line – Winter: North,Classic,Bergen – Honningsvåg – Tromsø,Autumn; Winter,120837,The North Cape Express,CENICOBT24CO
CENICOBTO24A,The North Cape Line – Winter,Classic,Bergen – Honningsvåg – Oslo,Spring; Winter,115338,The North Cape Express,CENICOBTO24A
CENICOOT24CO,Norway’s Capital to the Arctic Capital,Classic,Oslo – Tromsø,Autumn; Winter,120853,The North Cape Express,CENICOOT24CO
CENICOOTB24A,The North Cape Line – Winter,Classic,Oslo – Honningsvåg – Bergen,Autumn; Winter,115380,The North Cape Express,CENICOOTB24A
CENICOTB24CO,The North Cape Line – Winter: South,Classic,Tromsø – Honningsvåg – Bergen,Autumn; Winter,120865,The North Cape Express,CENICOTB24CO
